Title,PlotSummary
The Day the Earth Stood Still,"When a flying saucer lands in Washington, D.C., the Army quickly surrounds it. A humanoid (Michael Rennie) emerges, announcing that he has come in peace. When he unexpectedly opens a small device, he is shot by a nervous soldier. A tall robot emerges from the saucer and quickly disintegrates the soldiers' weapons. Klaatu escapes and lodges at a boarding house as ""Mr. Carpenter"""
The Burning,"One night at Camp Blackfoot, several campers pull a prank on the caretaker named Cropsy by setting a worm-riddled skull next to his bed with candles in the eye sockets. Five years later, Cropsy is released from the hospital despite having to deal with failed skin grafts, and wears a coat and hat to hide his deformities. While outside, a prostitute lures him, and in a fit of rage, he repeatedly stabs her with a pair of scissors. The next morning, a camper named Alfred scares Sally as she steps out of the shower, and campers Karen and Eddy"
Nobel Chor,"Rabindranath Tagore's Nobel medal was stolen from Shantiniketan in Bengal, where it was housed in his residence turned museum. A nationwide furor started and a massive search operation was put in place to find the guilty. Ultimately the medal was not found and the Central Bureau of Investigations (CBI) dropped the case in 2010."
Trent's Last Case,"Phillip Trent becomes convinced that Sigsbee Manderson's death was murder. Coroner concludes that Manderson had killed himself at the inquest. However, Trent is given permission by his editor to pursue the story. His attention is drawn to the widow of the deceased, Margaret Manderson."
Aafat,Inspector Amar and Inspector Chhaya are after the criminal Hardayal. Amar goes beyond the call of duty and becomes suspended. Amar is caught by the criminal and is held captive. Chhayal is supposed to find the criminal. Amar and Chhayan fall in love.
Zardoz,"In a future post-apocalyptic Earth in the year 2293, the human population is divided into the immortal ""Eternals"" and mortal ""Brutals"" The Eternals are overseen and protected from death by the Tabernacle, an artificial intelligence. The Vortex developed complex social rules whose violators are punished with artificial aging. The most extreme offenders are condemned to permanent old age."
I Cover Big Town,"""Illustrated Press"" society editor Lorelei Kilbourne (Hillary Brooke) is assigned to a police case. Her crusading newspaper editor Steve Kilgore suspects that hard-luck suspect Harry Hilton (Frank Wilcox) has been framed on a murder rap. The film also uncovers a conspiracy to bring a building firm to bankruptcy."
Sultan,"Sivan (Vinu Mohan) is a medical college student better known in the campus as 'Sultan' He and his four childhood close friends Naufal(Anoop Chandran),Sunny (Praveenkrishna),Vivek (Sreejithravi) forms a gang in the college. Sivan is in love with Nishitha (Varada), who is also a student in the same college."
A Good Year,"Max Skinner is an unethical yet very successful hard-working London-based bond trader with a sense of humour. He travels to Provence to prepare a quick sale of his uncle's vineyard estate in south-eastern France. Max becomes enamoured with the beautiful, feisty café owner Fanny Chenal, who is rumoured to have sworn off men."
Face,"Ray, Dave, Stevie, Julian and Jason plan a heist to steal a minimum of £2 million. However, they only get the amount of money they wanted, and only £68,000 to each man. The group, without Julian, later spend time at a bar with fellow criminal Sonny, and Ray's girlfriend Connie, a protestor. The four are alerted to a pair of undercover police officers and flee, Dave and Julian engaging in a shootout with the police."
